target_fid,value,followers
411583,richstory,5166
382808,theonlycakeone,5165
238032,5050,5149
485983,pandacoin,5145
449882,0xusdt,5143
296687,jonathancolton,5133
273442,samhorine,5131
354105,shibacaster,5117
483462,janicka,5114
423255,minchow.eth,5112
434985,ajwashah616,5107
314601,kabosu,5103
283780,tomasalpha.eth,5099
412192,mjfunds,5099
308410,manuwilliams,5095
404803,tlsgmlwns,5088
421222,inner,5086
490478,monkeybanana,5083
388876,mxdrd,5081
282520,geaux.eth,5080
336963,banmo.eth,5079
428956,ssoyanim,5077
426698,dooristar,5075
429107,ilyaa,5072
379750,qqsksk12,5059
322604,badrlaghfiry,5058
443961,eella,5057
343855,darcris.eth,5054
332502,morbeck-art,5050
521460,huongnkt3,5034
289295,minhle,5033
453821,mariahcarey,5019
454083,iambella,5011
241644,jorgep,5010
252221,airdropsultan,5007
394357,laursa.eth,5007
367640,warpinscription,5004
304818,sabato,5003
429452,bunnybase,4996
258848,zoopdrop.eth,4995
234568,ventra,4992
355052,uynag,4988
196387,callmejojo,4984
335194,metaland,4978
352787,meeshuno,4978
419401,lnoir,4977
444025,stilgar,4976
289088,qnmd9527,4975
425933,fxflier,4970
385126,halfbreed,4969
411014,ppoppo2000,4962
430839,gogo1313,4953
301385,wakkin,4929
242644,ramaneffect24.eth,4920
401087,yeon,4910
557699,andrond7,4905
351598,speakingtomato,4896
194372,roadu,4889
517425,shahbazbaaz,4883
285086,gaut,4879
406400,tradegod,4878
428163,everrich,4876
444067,macster,4876
416294,hmeme,4871
278513,opensea,4870
381797,abear.eth,4869
456002,phil312,4859
314724,chinaski,4858
298418,bestford,4844
309819,mariafynsknorup.eth,4836
443258,hafsa,4819
420554,afterlifedog,4813
423117,ddugi,4812
447178,rnbsint,4797
492401,yuyu1904,4795
265298,mide,4789
249927,dudewith.eth,4789
415527,okun,4785
384019,super-nyan,4779
318213,lornamills,4779
296207,jeffmihaly,4777
501767,gao2024,4775
435518,pizie,4775
415817,gecoin,4767
240835,kenanie.eth,4766
240969,afterlife13,4764
470430,thudang00,4763
561505,hooking,4756
401099,kamsim,4749
232704,pixelsymphony,4747
429192,gamgak,4747
279980,globs,4746
416704,puresmile,4746
335969,madridistaa,4742
330133,nathanabauman,4739
347050,trupty,4736
448920,baegopayo,4732
435255,mehwishmalik,4721
291942,djfreak.eth,4720
397584,juwon,4714
414520,sapiens,4710
571789,stra,4709
407564,gunho,4698
503116,sonatatips,4697
400888,ncsoft,4696
379777,misonyer,4695
352218,site,4694
428639,sara1999,4693
407731,seulgilown,4691
406493,yeomks,4687
550125,lsauronl,4686
236715,totty.eth,4678
269775,gutts.eth,4674
472235,haiyong,4674
439820,stylearise,4661
306341,rikoostenbroek,4661
486435,liai,4657
405979,anicorea85,4652
498449,superconductor,4651
341634,jenskins,4632
236636,zeronftt.eth,4626
453785,onika,4619
510364,x0dura,4617
306043,kazim,4610
424315,cryptolionn,4610
403157,farme,4603
400997,elisyum7,4591
421747,mamas,4589
416390,kal8888,4582
384537,babybrett,4575
425724,bangjang,4571
470027,best-cat,4569
420348,laya,4568
429018,pixiz,4566
509555,lynh0330,4563
301718,h9,4562
405049,wcorgi,4539
434286,sunny1,4538
304347,0xshakila,4538
493923,punevyr,4534
480498,ansakrghtn,4534
381283,owlercoaster,4527
532920,makorzzzz,4525
360601,loudman.eth,4522
462158,up181717,4508
222389,0xpotus,4507
401705,roroland,4506
477741,noincil,4502
