"rank","fid","fname"
250,2420,"4484"
251,280,"vrypan"
251,280,"vrypan.eth"
252,1918,"zoz.eth"
252,1918,"0xzoz"
253,2441,"sbfftx.eth"
253,2441,"nofuckingthanks.eth"
253,2441,"erc123.eth"
253,2441,"grunt"
253,2441,"grunt.eth"
254,343261,"drakula"
255,350,"steph"
256,12370,"msolomon.eth"
256,12370,"msolomon"
257,72,"garrytan"
258,9166,"nbragg"
259,10,"elad"
260,7061,"liang"
261,39,"sam"
262,244902,"sartoshi"
263,4525,"emo"
263,4525,"emo.eth"
264,1401,"jpetrich"
265,8587,"manuelmaccou.eth"
265,8587,"manuelmaccou"
266,2455,"notdevin.eth"
266,2455,"notdevin"
267,11770,"adam-"
268,50,"mason"
269,269694,"bitfloorsghost.eth"
269,269694,"bitfloorsghost"
270,5034,"tervo"
271,241873,"haydenzadams"
272,260,"yekim"
272,260,"yekim.eth"
273,14364,"purp"
274,20910,"zora"
275,6394,"bayardo"
275,6394,"bayardo.eth"
276,706,"lay2000lbs"
277,4612,"swabbie.eth"
277,4612,"seanhart"
277,4612,"seanhart.eth"
277,4612,"h4rt.eth"
278,253127,"agust"
278,253127,"agust.eth"
278,253127,"bleu.eth"
279,233147,"pplpleasr"
280,4564,"kevinoconnell"
280,4564,"kwoconnell.eth"
281,4905,"maxjackson.eth"
281,4905,"modulations.eth"
281,4905,"suchdao.eth"
281,4905,"tokenart.eth"
281,4905,"mxjxn.eth"
281,4905,"mxjxn"
282,4163,"kmacb.eth"
282,4163,"kmacbeth"
283,2728,"iammatthias"
283,2728,"iammatthias.eth"
284,311,"bgrill.eth"
284,311,"bgrill"
285,12567,"philcockfield.eth"
285,12567,"pjc"
286,300898,"optimism"
287,1430,"wijuwiju"
287,1430,"wijuwiju.eth"
288,4256,"markfishman.eth"
288,4256,"markfishman"
288,4256,"angeluser.eth"
289,3635,"androidsixteen.eth"
289,3635,"pranay"
290,5448,"cmlad"
290,5448,"cmlad.eth"
291,7318,"dankrad"
292,57,"packy"
293,4483,"211.eth"
293,4483,"iceberg"
294,13596,"hellno"
294,13596,"hellnooo.eth"
294,13596,"hellno.eth"
295,1315,"uxhelp.eth"
295,1315,"manansh"
296,1189,"grace"
297,315,"jomessin"
298,1700,"0xfoobar"
299,4417,"purple"
300,62,"zoink"
301,2480,"humpty.eth"
301,2480,"humpty"
302,3854,"darrylyeo.eth"
302,3854,"darrylyeo"
302,3854,"darryl.eth"
303,20909,"airstack"
304,165,"ludo"
305,3095,"backseats"
306,226538,"boldleonidas"
307,7596,"justindrake"
308,16831,"0xsmallbrain"
309,262563,"lamaboo"
309,262563,"lamaboo.eth"
310,7074,"pinged"
311,9391,"ispeaknerd"
311,9391,"ispeaknerd.eth"
312,155,"will"
313,4253,"we"
314,125,"mg"
315,2526,"pratik"
316,16567,"serendipity"
317,2864,"launch"
318,9152,"warpcast"
319,4262,"0age"
320,5486,"deeze.eth"
320,5486,"deeze"
321,166,"4156"
322,7479,"chaskin.eth"
322,7479,"cartman"
323,7933,"hades"
324,7960,"sheldon"
325,12152,"pirosb3.eth"
325,12152,"pirosb3"
326,330642,"bryanjohnson"
327,2736,"annoushka.eth"
327,2736,"annoushka"
328,1171,"gm8xx8"
329,68,"erik"
330,2266,"ripe"
331,7556,"ommalik"
332,23,"max"
333,1137,"ivy"
334,4282,"matthewfox.eth"
334,4282,"matthewfox"
335,216023,"variant"
336,3306,"mantej"
336,3306,"mantej.eth"
337,626,"matallo"
337,626,"matallo.eth"
338,16522,"ilemi.eth"
338,16522,"ilemi"
339,2222,"tyson"
340,195091,"greyseymour.eth"
340,195091,"greyseymour"
341,1134,"levy"
342,4134,"andreitr.eth"
342,4134,"andreitr"
343,6731,"chicago"
343,6731,"ch1cago.eth"
344,288,"rrhoover"
345,71,"arjun"
346,6143,"jxom"
347,716,"ayush"
347,716,"ayushm.eth"
348,7237,"aviationdoctor"
348,7237,"aviationdoctor.eth"
349,2134,"kazi"
350,800,"nicole"
351,9055,"usersteen.eth"
351,9055,"usersteen-eth"
352,12031,"sanjay"
353,323251,"miguelgarest-eth"
353,323251,"miguelgarest.eth"
354,276,"markus"
355,4865,"jordanlyall"
356,7258,"riotgoools.eth"
356,7258,"riotgoools"
357,656,"raz"
358,443,"jk"
359,12224,"benroy"
360,270969,"basedinstitute"
361,4893,"dystopiabreaker"
362,18570,"qt"
363,214447,"yes2crypto.eth"
363,214447,"yes2crypto"
364,6546,"artlu"
365,1020,"jake"
366,3305,"daojoan.eth"
366,3305,"daojoan"
367,12144,"wbnns"
367,12144,"wbnns.eth"
368,196199,"jvmi"
369,5543,"heatcheck.eth"
369,5543,"manyfacesu.eth"
369,5543,"sirsu.eth"
369,5543,"sirsu"
370,4753,"saxenasaheb.eth"
370,4753,"saxenasaheb"
371,235510,"dabit3"
372,13659,"entropybender.eth"
372,13659,"entropybender"
373,4904,"mc"
